ID,TRANSMITTER_NAME,MUX_OPERATOR,SERVICE,LATITUDE,LONGITUDE,TRANSMITTER_HEIGHT,CHANNEL,FREQUENCY,TRANSMITTER_POWER,TOTAL_POPULATION,COVERED_POPULATION,PANEL_DIRECTION,PHASE,TRANSMITTER_TYPE
40,"Trans TV Sibolga","Trans TV",Digital,1.7513690000,98.7732920000,2.15,30,546,1.20,0,168581,"140Ã?Â°/2 305Ã?Â°/2",Digital,Digital
41,"TVRI Pulau Banyak","TVRI  ",Digital,2.3053330000,97.4088670000,65.00,46,674,1.00,0,0,"150°/2,   240°/5,   330°/5",Digital,Digital
42,"TVRI Banda Aceh","TVRI  ",Digital,5.5087970000,95.3024810000,100.00,29,538,2.00,237641326,510236,"0°/4,  130°/4,   245°/4",Digital,Digital
43,"TVRI Gunung Gompong","TVRI  ",Digital,-0.9635250000,100.6456080000,85.00,29,538,5.00,0,107218,"140°/8,  240°/8,  320°/8",Digital,Digital
44,"TVRI Pasaman Barat","TVRI  ",Digital,-0.1164830000,99.8846000000,65.00,42,642,2.00,0,0,"10°/2,  100°/2,  190°/6,   280°/6",Digital,Digital
47,"TVRI Pekanbaru","TVRI  ",Digital,0.5176580000,101.4283250000,100.00,40,626,5.00,0,1464807,"10°/4, 100°/4, 190°/4,  280°/4",Digital,Digital
48,"TVRI Batam","TVRI  ",Digital,1.1231250000,103.9456640000,100.00,48,690,2.00,0,1047205,"110°/6,  250°/6,   330°/6",Digital,Digital
49,"TVRI Sungai Pakning","TVRI  ",Digital,1.3319810000,102.1521440000,100.00,28,530,5.00,0,213156,"0°/4,  90°/6,  180°/4,   270°/2",Digital,Digital
50,"TVRI Tarempa","TVRI  ",Digital,3.2228670000,106.2233670000,9.05,46,674,1.00,0,0,"10°/2,  100°/8,  220°/2",Digital,Digital
51,"TVRI Gunung Manumbing","TVRI  ",Digital,-2.0165170000,105.1810890000,50.00,39,618,2.50,0,136509,"0°/5, 90°/3",Digital,Digital
52,"TVRI Gunung Mangkol","TVRI  ",Digital,-2.2397780000,106.0984000000,50.00,27,522,5.00,0,0,"50°/4, 140°/8, 320°/4",Digital,Digital
53,"TVRI Bandar Baru","TVRI  ",Digital,3.2638330000,98.5400670000,70.00,28,530,5.00,0,4571837,"70°/8   340°/8 ",Digital,Digital
54,"TVRI Bukit Sarai","TVRI  ",Digital,-0.9747440000,100.3670810000,40.00,30,546,2.00,0,901390,"70°/6,  165°/4,   335°/6",Digital,Digital
55,"TVRI Telanaipura","TVRI  ",Digital,-1.6153470000,103.5719720000,100.00,44,658,10.00,0,1028399,"20°/4   110°/4   220°/4   290°/4",Digital,Digital
56,"TVRI Palembang","TVRI  ",Digital,-2.9763810000,104.7389000000,40.00,29,538,10.00,0,2358072,"20°/8, 110°/8, 200°/8, 290°/8",Digital,Digital
57,"TVRI Bentiring","TVRI  ",Digital,-3.7676250000,102.3115390000,100.00,34,578,5.00,0,636027,"50°/4   140°/9   230°/2   320°/9",Digital,Digital
58,"TVRI Gunung Betung","TVRI  ",Digital,-5.4063860000,105.1789580000,100.00,33,570,10.00,0,1572398,"10°/4 100°/4",Digital,Digital
59,"TVRI Joglo","TVRI  ",Digital,-6.2207690000,106.7258190000,300.00,42,642,10.00,0,29341695,"0°/12, 90°/12, 180°/12, 270°/12",Digital,Digital
60,"TVRI Panyandakan","TVRI  ",Digital,-6.8147640000,107.5604560000,65.00,35,586,5.00,0,0,"160°/12, 270°/12",Digital,Digital
62,"TVRI Gombel","TVRI  ",Digital,-7.0447440000,110.4253970000,54.00,28,530,5.00,0,0,"0°/4, 90°/10, 180°/8, 270°/10",Digital,Digital
63,"TVRI Pathuk","TVRI  ",Digital,-7.8375610000,110.5243220000,150.00,29,538,5.00,0,0,"45°/8,   135°/6,   225°/4,   315°/6",Digital,Digital
64,"TVRI Pasir Sumbul","TVRI  ",Digital,-7.0853890000,107.1183060000,62.00,23,490,1.00,0,11199200,"110°/2 320°/4",Digital,Digital
65,"TVRI Surabaya","TVRI  ",Digital,-7.2897330000,112.7140750000,114.00,35,586,5.00,0,10036591,"0°/8,  90°/8,  180°/8,  270°/8",Digital,Digital
67,"TVRI Pontianak","TVRI  ",Digital,-0.0437140000,109.3407690000,100.00,32,562,10.00,0,1367888,"75°/4, 165°/4, 345°/4",Digital,Digital
68,"TVRI Bengkayang","TVRI  ",Digital,0.8325560000,109.4908890000,65.00,46,674,2.00,0,0,"30°/4, 120°/6, 210°/6",Digital,Digital
69,"TVRI Sambas","TVRI  ",Digital,1.3581170000,109.2998670000,65.00,36,594,5.00,0,230365,"0°/6, 90°/6, 180°/6, 270°/6",Digital,Digital
70,"TVRI Balai Karangan","TVRI  ",Digital,0.8075080000,110.4217330000,65.00,32,562,2.00,0,137919,"80°/4, 170°/2, 260°/4, 350°/2",Digital,Digital
71,"TVRI Sanggau Ledo","TVRI  ",Digital,1.1685030000,109.7227670000,65.00,28,530,2.00,0,230365,"50°/4, 220°/4, 315°/4",Digital,Digital
72,"TVRI Sintang","TVRI  ",Digital,0.0712170000,111.5043110000,65.00,30,546,3.00,0,0,"60°/2, 150°/6, 240°/4",Digital,Digital
73,"TVRI Banjarmasin","TVRI  ",Digital,-3.3461110000,114.6247220000,100.00,31,554,3.40,0,1901754,"30°/8, 120°/8, 210°/3, 300°/5",Digital,Digital
74,"TVRI Palangkaraya","TVRI  ",Digital,-2.2121110000,113.9103670000,100.00,30,546,5.00,0,240108,"65°/8 , 155°/8 , 245°/8 , 355°/8",Digital,Digital
75,"TVRI Gunung Lampu","TVRI  ",Digital,-0.5375000000,117.1463890000,65.00,28,530,5.00,0,1041957,"0°/6, 90°/6, 180°/6, 270°/6",Digital,Digital
